Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Patrick Corbin,,SP,10400,WAS,NYM,60%,3.80,7,,,4.09,26.9%,3.63,3.35,L,0.285,0.300,-1%,-1%,0%,27.1,27.1,27.1,27.1,27.1,19.4,1.9,0.0,0.0
Lance Lynn,,SP,9900,TEX,@OAK,41%,4.11,7,,,4.10,23.8%,4.29,4.19,R,0.338,0.278,3%,1%,0%,29.8,29.8,29.8,26.8,32.8,19.3,1.9,0.0,0.0
Dinelson Lamet,,SP,9500,SD,LAD,46%,4.19,7,,,5.27,30.6%,3.86,3.90,R,0.346,0.261,0%,0%,0%,21.8,21.8,21.8,16.2,27.3,18.5,1.9,0.0,0.0
Lucas Giolito,,SP,9100,CWS,@MIL,44%,4.25,6.5,0.347,22.4%,4.00,23.3%,4.46,4.54,R,0.307,0.313,-2%,1%,0%,8.4,8.4,8.4,-10.8,27.5,16.6,1.8,0.0,0.0
Max Fried,,SP,8500,ATL,TOR,63%,3.64,6,0.322,23.8%,3.57,24.8%,3.85,3.42,L,0.300,0.326,-1%,0%,0%,21.4,21.4,21.4,11.3,31.6,17.3,2.0,0.0,0.0
Brandon Woodruff,,SP,8300,MIL,CWS,56%,3.75,6.5,0.332,23.9%,5.60,26.0%,3.76,3.64,R,0.328,0.251,0%,1%,0%,25.3,25.3,25.3,8.8,41.9,18.1,2.2,0.0,0.0
German Marquez,,SP,8100,COL,SF,62%,4.96,6,0.320,22.3%,4.91,24.7%,3.78,3.57,R,0.335,0.300,-6%,-1%,0%,24.1,24.1,24.1,17.9,30.3,16.7,2.1,0.0,0.0
Andrew Heaney,,SP,8000,LAA,@SEA,64%,3.80,6,,,4.18,25.8%,3.80,3.89,L,0.296,0.335,3%,-1%,0%,17.5,17.5,17.5,14.9,20.1,17.5,2.2,0.0,0.0
Matt Shoemaker,,SP,7900,TOR,@ATL,37%,4.86,5.5,0.328,23.5%,5.36,22.3%,4.39,4.57,R,0.305,0.310,-3%,-1%,-1%,16.5,16.5,16.5,16.5,16.5,13.5,1.7,0.0,0.0
Kyle Hendricks,,SP,7700,CHC,KC,67%,3.05,5,0.326,22.6%,3.64,20.6%,4.17,3.97,R,0.285,0.294,-1%,1%,3%,21.9,21.9,21.9,-11.4,55.2,14.9,1.9,0.0,0.0
Jesus Luzardo,,SP,7600,OAK,TEX,59%,3.39,5.5,,,3.38,,,,L,,,1%,1%,0%,0.0,0.0,0.0,0.0,0.0,16.0,2.1,0.0,0.0
Pablo Lopez,,SP,7600,MIA,@BAL,45%,4.76,4.5,,,5.12,19.7%,4.39,4.30,R,0.341,0.292,-5%,-1%,0%,0.0,0.0,0.0,0.0,0.0,12.9,1.7,0.0,0.0
Dustin May,,SP,7500,LAD,@SD,54%,3.81,4,,,5.82,22.7%,3.79,3.70,R,,,-2%,0%,0%,10.0,10.0,10.0,7.9,12.2,12.0,1.6,0.0,0.0
Steven Matz,,SP,7400,NYM,@WAS,40%,4.70,4,0.333,17.9%,3.43,21.5%,4.36,4.29,L,0.321,0.329,-11%,-1%,0%,14.9,14.9,14.9,2.3,27.4,9.8,1.3,0.0,0.0
Madison Bumgarner,,SP,7200,ARI,HOU,44%,5.06,5.5,,,5.78,22.4%,4.17,4.26,L,0.241,0.311,-1%,0%,0%,12.5,12.5,12.5,9.8,15.2,14.5,2.0,0.0,0.0
Brady Singer,,SP,6900,KC,@CHC,33%,4.45,4.5,0.343,22.4%,5.20,,,,R,,,-1%,1%,5%,14.3,14.3,14.3,8.7,19.9,10.8,1.6,0.0,0.0
Cristian Javier,,SP,6500,HOU,@ARI,56%,4.44,5.5,0.333,20.4%,2.70,,,,R,,,-6%,0%,0%,25.0,25.0,25.0,25.0,25.0,13.4,2.1,0.0,0.0
John Means,,RP,6400,BAL,MIA,55%,4.24,4.5,,,5.67,19.1%,4.96,5.42,L,0.244,0.317,0%,-1%,0%,-3.8,-3.8,-3.8,-3.8,-3.8,11.8,1.8,0.0,0.0
Kevin Gausman,,SP,5700,SF,@COL,38%,6.54,5,0.331,21.4%,5.56,21.6%,4.29,4.21,R,0.316,0.340,-17%,-1%,0%,16.1,16.1,16.1,16.1,16.1,10.9,1.9,0.0,0.0
Justin Dunn,,RP,4900,SEA,LAA,36%,5.20,4.5,,,4.90,,,,R,,,3%,-1%,0%,4.3,4.3,4.3,4.3,4.3,11.9,2.4,0.0,0.0
