Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,,OF,6200,LAA,@SEA,4.62,Gonzales,0.316,-2%,L,R,0.408,-6%,0.244,-22%,,2,,-3%,3%,0%,9.4,9.4,9.4,1.2,17.7,10.6,1.7,0.0,0.0
Charlie Blackmon,,OF,6000,COL,SF,6.48,Webb,,1%,R,L,0.381,0%,0.245,10%,3,3,0,11%,1%,0%,9.2,9.2,9.2,1.8,16.6,10.5,1.8,0.0,0.0
Mookie Betts,,OF,5900,LAD,@SD,4.25,Richards,0.316,-6%,R,R,0.412,2%,0.258,2%,x,x,-,0%,0%,0%,10.2,10.2,10.2,3.0,17.4,0.0,0.0,0.0,0.0
Trevor Story,,SS,5800,COL,SF,6.48,Webb,,-1%,R,R,0.369,-5%,0.254,-9%,2,2,0,11%,1%,0%,11.9,11.9,11.9,1.6,22.2,11.1,1.9,0.0,0.0
Mike Yastrzemski,,OF,5800,SF,@COL,5.02,Gray,0.326,0%,R,L,0.342,0%,0.249,6%,1,,1,31%,1%,0%,13.0,11.5,11.5,2.3,20.7,11.3,1.9,0.0,0.0
Jose Altuve,,2B,5700,HOU,@ARI,5.11,Ray,0.320,-1%,L,R,0.387,3%,0.212,10%,2,2,0,1%,0%,0%,8.4,8.4,8.4,1.0,15.8,9.6,1.7,0.0,0.0
George Springer,,OF,5700,HOU,@ARI,5.11,Ray,0.320,-1%,L,R,0.388,3%,0.240,0%,1,1,0,0%,0%,0%,8.1,8.1,8.1,0.4,15.8,9.9,1.7,0.0,0.0
Ramon Laureano,,OF,5600,OAK,TEX,4.49,Gibson,0.319,-1%,R,R,0.360,1%,0.231,4%,,2,,-2%,-3%,0%,7.5,9.5,9.5,0.1,18.8,8.3,1.5,0.0,0.0
Nolan Arenado,,3B,5600,COL,SF,6.48,Webb,,-1%,R,R,0.365,-9%,0.238,-15%,4,4,0,12%,1%,0%,6.9,6.9,6.9,0.5,13.3,9.8,1.8,0.0,0.0
Giancarlo Stanton,,OF,5600,NYY,PHI,3.80,Nola,0.274,-11%,R,R,0.340,-11%,0.210,-24%,,4,,-1%,5%,6%,9.9,9.9,9.9,1.7,18.1,8.6,1.5,0.0,0.0
David Dahl,,OF,5500,COL,SF,6.48,Webb,,1%,R,L,0.368,3%,0.246,9%,1,1,0,11%,1%,0%,7.3,7.3,7.3,3.8,10.8,10.6,1.9,0.0,0.0
Whit Merrifield,,2B/OF,5400,KC,CHC,3.74,Darvish,0.268,-12%,R,R,0.335,-3%,0.129,-15%,1,,0,0%,-1%,0%,9.9,9.5,9.5,-0.4,19.4,7.3,1.4,0.0,0.0
Anthony Rizzo,,1B,5400,CHC,@KC,5.26,Bubic,,-4%,L,L,0.348,-7%,0.190,-10%,2,,0,2%,-1%,0%,7.5,8.5,8.5,0.8,16.1,9.0,1.7,0.0,0.0
Joey Gallo,,OF,5300,TEX,@OAK,3.51,Manaea,0.258,-14%,L,L,0.377,2%,0.323,2%,3,4,1,-11%,-3%,0%,11.9,11.9,11.9,3.3,20.5,7.4,1.4,0.0,0.0
Alex Bregman,,3B,5300,HOU,@ARI,5.11,Ray,0.320,-1%,L,R,0.419,4%,0.284,8%,3,3,0,0%,0%,0%,8.5,8.5,8.5,1.5,15.5,10.4,2.0,0.0,0.0
Ryan McMahon,,1B/2B,5300,COL,SF,6.48,Webb,,1%,R,L,0.312,-2%,0.168,-8%,6,6,0,10%,1%,0%,7.6,7.6,7.6,1.7,13.5,8.4,1.6,0.0,0.0
Aaron Judge,,OF,5300,NYY,PHI,3.80,Nola,0.274,-11%,R,R,0.369,-4%,0.244,-4%,,2,,0%,4%,5%,15.2,15.2,15.2,3.6,26.8,9.1,1.7,0.0,0.0
Fernando Tatis Jr.,,SS,5200,SD,LAD,3.75,Stripling,0.321,-1%,R,R,0.367,-3%,0.265,3%,1,1,0,-3%,-1%,0%,12.4,12.0,12.0,5.6,18.4,8.9,1.7,0.0,0.0
Anthony Rendon,,3B,5200,LAA,@SEA,4.62,Gonzales,0.316,-2%,L,R,0.404,1%,0.269,7%,,3,,-4%,2%,0%,8.4,8.4,8.4,1.5,15.4,9.0,1.7,0.0,0.0
Max Muncy,,1B/2B,5200,LAD,@SD,4.25,Richards,0.264,-11%,R,L,0.393,2%,0.299,4%,2,1,0,-6%,-1%,0%,5.2,8.2,8.2,-2.4,18.8,7.5,1.4,0.0,0.0
Christian Yelich,,OF,5200,MIL,@CWS,4.03,Keuchel,0.261,-14%,L,L,0.359,-11%,0.193,-26%,x,x,-,0%,0%,0%,4.3,4.3,4.3,-2.0,10.5,0.0,0.0,0.0,0.0
Bryce Harper,,OF,5200,PHI,@NYY,3.70,Loaisiga,,2%,R,L,0.366,1%,0.241,3%,x,3,,-1%,4%,5%,8.5,8.5,8.5,0.2,16.8,0.0,0.0,0.0,0.0
Keston Hiura,,2B,5100,MIL,@CWS,4.03,Keuchel,0.310,-3%,L,R,0.289,-2%,0.120,-3%,2,2,0,-3%,0%,-2%,8.5,8.5,8.5,1.3,15.7,8.4,1.6,0.0,0.0
Ronald Acuna Jr.,,OF,5100,ATL,TOR,4.71,Ryu,0.283,-9%,L,R,0.394,4%,0.281,11%,1,,0,1%,0%,0%,9.7,8.3,8.3,1.0,15.7,9.8,1.9,0.0,0.0
