Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jacob deGrom,,SP,11600,NYM,@ATL,53%,3.86,7,0.330,20.6%,5.70,30.9%,3.17,2.97,R,0.274,0.241,-4%,0%,0%,20.6,20.6,20.6,12.8,28.3,19.7,1.7,0.0,0.0
Gerrit Cole,,SP,11000,NYY,PHI,72%,3.36,8.5,0.332,21.1%,5.00,32.4%,3.16,3.10,R,0.289,0.279,-1%,-1%,0%,23.7,23.7,23.7,23.3,24.1,23.6,2.1,0.0,0.0
Walker Buehler,,SP,10300,LAD,@SD,55%,3.80,7.5,0.325,24.3%,5.90,28.6%,3.45,3.32,R,0.259,0.271,-2%,0%,-1%,7.9,7.9,7.9,7.9,7.9,20.2,2.0,0.0,0.0
Mike Soroka,,SP,9400,ATL,NYM,47%,4.14,4.5,0.341,21.4%,3.80,20.0%,4.26,3.82,R,0.314,0.251,-1%,0%,0%,15.2,15.2,15.2,13.2,17.1,12.8,1.4,0.0,0.0
Lewis Thorpe,,RP,8400,MIN,PIT,65%,3.94,6,0.320,21.0%,3.33,,,,L,,,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,16.3,1.9,0.0,0.0
Alec Mills,,RP,8000,CHC,KC,57%,3.64,5,0.324,24.7%,4.00,29.2%,3.49,3.70,R,,0.239,-1%,1%,5%,17.1,17.1,17.1,17.1,17.1,13.2,1.6,0.0,0.0
Chris Paddack,,SP,7600,SD,LAD,45%,4.20,4.5,0.361,19.8%,5.40,26.9%,3.83,4.05,R,0.280,0.255,0%,0%,-1%,19.1,19.1,19.1,14.2,23.9,12.8,1.7,0.0,0.0
Brett Anderson,,SP,7300,MIL,CWS,51%,4.68,3.5,0.334,25.1%,5.56,13.2%,4.84,4.47,L,0.315,0.333,-1%,3%,0%,0.0,0.0,0.0,0.0,0.0,10.4,1.4,0.0,0.0
Frankie Montas,,SP,7200,OAK,@SEA,63%,3.84,6.5,0.323,25.1%,4.50,22.0%,4.26,4.13,R,0.347,0.299,2%,-1%,0%,10.9,10.9,10.9,8.3,13.6,18.3,2.5,0.0,0.0
Carlos Rodon,,SP,7000,CWS,@MIL,49%,4.82,5,0.331,22.2%,4.00,22.0%,4.67,4.79,L,0.308,0.310,-2%,2%,0%,2.0,2.0,2.0,2.0,2.0,13.0,1.9,0.0,0.0
Danny Duffy,,SP,6600,KC,@CHC,42%,4.36,5,0.345,24.2%,5.56,20.8%,4.64,4.81,L,0.260,0.331,-1%,1%,5%,11.8,11.8,11.8,5.5,18.1,13.3,2.0,0.0,0.0
Chi Chi Gonzalez,,SP,6200,COL,SF,54%,6.45,3.5,0.320,21.9%,4.80,16.6%,5.71,5.33,R,0.370,0.308,-12%,-2%,0%,0.0,0.0,0.0,0.0,0.0,8.3,1.3,0.0,0.0
Jake Arrieta,,SP,6200,PHI,@NYY,28%,5.64,4.5,0.339,23.0%,5.62,20.3%,4.41,4.20,R,0.339,0.281,-4%,-3%,0%,0.0,0.0,0.0,0.0,0.0,10.6,1.7,0.0,0.0
Derek Holland,,SP,6000,PIT,@MIN,35%,5.56,5,0.339,23.9%,5.11,20.5%,4.85,4.92,L,0.254,0.377,-5%,0%,1%,15.2,15.2,15.2,15.2,15.2,10.8,1.8,0.0,0.0
Justus Sheffield,,RP,5800,SEA,OAK,37%,5.16,4.5,0.345,22.6%,3.33,20.3%,5.01,4.93,L,,,3%,-2%,0%,-1.4,-1.4,-1.4,-1.4,-1.4,11.3,1.9,0.0,0.0
Johnny Cueto,,SP,5100,SF,@COL,46%,7.05,4.5,0.327,21.6%,5.38,20.1%,4.56,4.50,R,0.320,0.324,-19%,-2%,0%,6.1,6.1,6.1,2.3,9.9,9.6,1.9,0.0,0.0
