Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Merrill Kelly,,SP,9800,ARI,LAD,37%,5.17,4.5,,,5.00,20.3%,4.73,4.58,R,0.325,0.313,-2%,0%,0%,30.9,30.9,30.9,30.9,30.9,12.1,1.2,0.0,0.0
Aaron Civale,,SP,9600,CLE,@MIN,50%,4.77,4.5,,,5.71,20.3%,4.74,4.61,R,,0.261,-1%,0%,0%,26.7,26.7,26.7,26.7,26.7,13.4,1.4,0.0,0.0
Jack Flaherty,,SP,9100,STL,@MIL,,,7,,,4.00,29.2%,3.69,3.66,R,0.279,0.264,-2%,0%,0%,24.1,24.1,24.1,24.1,24.1,19.4,2.1,0.0,0.0
Jon Lester,,SP,9000,CHC,PIT,66%,,4.5,,,3.71,21.6%,4.37,4.21,L,0.299,0.330,-1%,-2%,0%,16.1,16.1,16.1,16.1,16.1,12.6,1.4,0.0,0.0
Clayton Kershaw,,SP,9000,LAD,@ARI,63%,3.83,6.5,,,3.12,26.8%,3.42,3.18,L,0.252,0.265,-4%,0%,0%,0.0,0.0,0.0,0.0,0.0,18.9,2.1,0.0,0.0
Josh James,,SP,8700,HOU,@LAA,56%,4.45,6,,,4.88,36.1%,3.24,3.69,R,0.308,0.281,0%,-1%,0%,5.3,5.3,5.3,5.3,5.3,16.1,1.9,0.0,0.0
Yonny Chirinos,,SP,8600,TB,@BAL,63%,4.25,4.5,,,5.17,21.0%,4.13,4.07,R,0.267,0.310,-2%,-3%,0%,13.4,13.4,13.4,13.4,13.4,12.4,1.4,0.0,0.0
Dylan Cease,,SP,8400,CWS,@KC,,,5.5,,,4.12,24.9%,4.60,4.42,R,0.380,0.325,-3%,0%,0%,-5.5,-5.5,-5.5,-5.5,-5.5,13.6,1.6,0.0,0.0
Chris Bassitt,,SP,8100,OAK,@SEA,60%,4.20,4.5,,,5.12,22.3%,4.47,4.58,R,0.289,0.300,3%,-2%,0%,15.4,15.4,15.4,15.4,15.4,13.7,1.7,0.0,0.0
Zach Davies,,SP,7900,SD,@COL,54%,6.23,4,,,4.67,15.6%,4.98,4.70,R,0.329,0.309,-24%,-5%,0%,18.3,18.3,18.3,18.3,18.3,7.8,1.0,0.0,0.0
Shohei Ohtani,,SP,7600,LAA,HOU,44%,5.05,6.5,,,6.00,29.9%,3.65,3.53,R,,,1%,-1%,0%,0.0,-1.5,-1.5,-7.0,3.9,18.3,2.4,0.0,0.0
Tommy Milone,,SP,7300,BAL,TB,37%,5.75,4,,,5.12,19.6%,4.36,4.81,L,0.321,0.361,0%,-4%,0%,4.6,4.6,4.6,4.6,4.6,9.3,1.3,0.0,0.0
Kolby Allard,,SP,7200,TEX,@SF,49%,4.55,4,,,4.50,14.1%,5.55,5.42,L,,0.345,1%,0%,0%,0.0,0.0,0.0,0.0,0.0,11.4,1.6,0.0,0.0
Jakob Junis,,SP,7100,KC,CWS,,,5.5,,,4.29,20.9%,4.35,4.47,R,0.343,0.323,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,14.1,2.0,0.0,0.0
David Peterson,,SP,7000,NYM,@ATL,49%,5.57,4.5,,,5.75,,,,L,,,-8%,-2%,0%,13.3,13.3,13.3,13.3,13.3,11.7,1.7,0.0,0.0
Steven Brault,,RP,6500,PIT,@CHC,34%,,4,,,6.29,19.0%,5.03,5.11,L,0.304,0.350,-4%,-3%,0%,4.7,4.7,4.7,4.7,4.7,9.1,1.4,0.0,0.0
Tyler Clippard,,RP,6500,MIN,CLE,50%,4.73,1.5,,,3.12,28.0%,3.70,4.63,R,0.269,0.326,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,4.5,0.7,0.0,0.0
Jeff Samardzija,,SP,6500,SF,TEX,51%,4.45,4.5,,,2.50,20.9%,4.39,4.46,R,0.327,0.283,1%,-1%,0%,-2.0,-2.0,-2.0,-2.0,-2.0,12.0,1.8,0.0,0.0
Kyle Wright,,SP,6200,ATL,NYM,51%,5.43,4.5,,,4.62,,,,R,,,-1%,-1%,0%,-2.2,-2.2,-2.2,-2.2,-2.2,11.7,1.9,0.0,0.0
Antonio Senzatela,,SP,5900,COL,SD,46%,6.77,3.5,,,6.50,16.1%,4.91,4.62,R,0.345,0.341,-15%,-6%,0%,13.9,13.9,13.9,13.9,13.9,6.7,1.1,0.0,0.0
Kendall Graveman,,SP,5300,SEA,OAK,40%,5.30,4.5,,,3.43,16.1%,4.67,4.51,R,0.325,0.369,3%,-2%,0%,5.6,5.6,5.6,5.6,5.6,12.3,2.3,0.0,0.0
