Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Carlos Carrasco,,SP,9800,CLE,CIN,53%,3.64,6.5,0.329,22.8%,4.33,28.8%,3.25,3.15,R,0.312,0.289,-1%,0%,2%,21.3,21.3,21.3,9.1,33.5,18.6,1.9,0.0,0.0
Mike Minor,,SP,9700,TEX,@OAK,38%,5.07,5.5,0.345,22.6%,4.33,23.2%,4.18,4.40,L,0.283,0.300,4%,0%,0%,9.5,9.5,9.5,-3.7,22.7,14.8,1.5,0.0,0.0
Luis Castillo,,SP,9500,CIN,@CLE,47%,3.86,6.5,0.330,20.8%,2.62,26.5%,3.84,3.55,R,0.320,0.262,-2%,-1%,2%,19.7,19.7,19.7,6.1,33.3,17.5,1.8,0.0,0.0
Tyler Chatwood,,SP,9400,CHC,@KC,62%,3.91,5,0.320,20.3%,3.46,19.4%,5.17,4.67,R,0.360,0.292,-1%,-1%,0%,33.3,33.3,33.3,26.5,40.0,13.8,1.5,0.0,0.0
Dylan Bundy,,SP,9300,LAA,@SEA,62%,3.49,7,0.312,23.7%,4.31,23.2%,4.29,4.54,R,0.348,0.314,3%,0%,0%,24.3,24.3,24.3,18.1,30.4,20.6,2.2,0.0,0.0
Zac Gallen,,SP,8900,ARI,HOU,51%,4.47,4.5,0.339,16.8%,6.09,28.7%,4.24,4.15,R,0.287,0.288,-1%,0%,0%,19.1,19.1,19.1,13.0,25.1,12.3,1.4,0.0,0.0
Jordan Yamamoto,,SP,8400,MIA,BAL,55%,4.00,5,,,3.82,25.2%,4.71,4.89,R,0.252,0.304,5%,0%,0%,0.0,0.0,0.0,0.0,0.0,13.6,1.6,0.0,0.0
Touki Toussaint,,SP,8300,ATL,TOR,53%,4.36,5,0.331,21.8%,3.11,24.0%,4.89,5.06,R,,0.291,-1%,-1%,0%,14.8,14.8,14.8,14.8,14.8,12.2,1.5,0.0,0.0
Mike Fiers,,SP,8100,OAK,TEX,62%,3.93,5,0.314,23.9%,3.20,19.2%,4.65,4.79,R,0.315,0.335,2%,0%,0%,4.7,4.7,4.7,-6.5,15.8,13.8,1.7,0.0,0.0
Jordan Montgomery,,SP,7800,NYY,@PHI,56%,4.37,4.5,0.333,21.4%,5.00,21.9%,4.37,4.45,L,0.253,0.307,2%,-1%,-1%,18.6,18.6,18.6,18.6,18.6,12.3,1.6,0.0,0.0
Brandon Bielak,,RP,7500,HOU,@ARI,49%,4.53,4.5,0.333,20.4%,3.58,,,,R,,,-7%,0%,0%,0.0,0.0,0.0,0.0,0.0,11.3,1.5,0.0,0.0
Gio Gonzalez,,SP,7500,CWS,MIL,51%,4.45,4.5,,,3.44,21.4%,4.62,4.36,L,0.249,0.317,1%,0%,0%,15.4,15.4,15.4,15.4,15.4,12.3,1.6,0.0,0.0
Nate Pearson,,SP,7300,TOR,@ATL,47%,4.64,5.5,0.326,22.0%,5.38,,,,R,,,-2%,-1%,0%,18.9,18.9,18.9,18.9,18.9,13.6,1.9,0.0,0.0
Kyle Freeland,,SP,7200,COL,SF,61%,5.07,4.5,0.328,,4.62,17.9%,4.76,4.57,L,0.286,0.339,-10%,-4%,0%,21.5,21.5,21.5,18.4,24.6,10.2,1.4,0.0,0.0
Zach Eflin,,SP,6900,PHI,NYY,43%,5.13,4.5,0.342,24.1%,5.55,18.7%,4.60,4.58,R,0.366,0.304,0%,-1%,-2%,0.0,0.0,0.0,0.0,0.0,11.1,1.6,0.0,0.0
Wade LeBlanc,,SP,6600,BAL,@MIA,45%,4.50,4.5,0.316,24.4%,4.00,18.7%,4.41,4.61,L,0.328,0.321,13%,-1%,0%,13.7,13.7,13.7,12.7,14.6,12.7,1.9,0.0,0.0
Tyler Anderson,,SP,6500,SF,@COL,39%,6.43,4,0.347,23.8%,5.27,22.2%,4.26,4.17,L,0.327,0.340,-19%,-4%,0%,-3.9,-3.9,-3.9,-3.9,-3.9,8.3,1.3,0.0,0.0
Brad Keller,,SP,6400,KC,CHC,38%,5.09,4,0.345,21.3%,5.25,16.9%,4.91,4.63,R,0.319,0.280,-2%,-1%,0%,0.0,0.0,0.0,0.0,0.0,10.3,1.6,0.0,0.0
Taijuan Walker,,SP,5800,SEA,LAA,38%,4.51,4.5,0.352,21.0%,5.00,21.0%,4.45,4.36,R,0.312,0.308,4%,1%,0%,14.0,14.0,14.0,-14.2,42.2,11.5,2.0,0.0,0.0
Josh Lindblom,,RP,5300,MIL,@CWS,49%,4.55,,0.329,25.8%,4.92,,,,R,,,0%,0%,0%,10.7,10.7,10.7,10.7,10.7,10.0,1.9,0.0,0.0
