Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian Yelich,,OF,6000,MIL,CWS,4.82,Rodon,0.308,-5%,L,L,0.359,-11%,0.193,-26%,3,,0,0%,-3%,0%,3.3,3.3,3.3,-3.1,9.7,8.4,1.4,0.0,0.0
Trevor Story,,SS,5900,COL,SF,7.05,Cueto,0.324,0%,R,R,0.369,-5%,0.254,-9%,2,,0,11%,2%,0%,13.8,13.8,13.8,3.0,24.5,11.6,2.0,0.0,0.0
Mike Yastrzemski,,OF,5900,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.342,0%,0.249,6%,1,,1,30%,2%,0%,11.8,11.8,11.8,2.4,21.2,12.2,2.1,0.0,0.0
Giancarlo Stanton,,OF,5800,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.340,-11%,0.210,-24%,4,,0,-1%,4%,0%,9.8,9.8,9.8,1.0,18.5,8.6,1.5,0.0,0.0
Charlie Blackmon,,OF,5700,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.381,0%,0.245,10%,3,,0,11%,2%,0%,9.4,9.4,9.4,1.3,17.5,10.5,1.8,0.0,0.0
Mookie Betts,,OF,5600,LAD,@SD,4.20,Paddack,0.255,-14%,R,R,0.412,2%,0.258,2%,x,x,-,0%,0%,0%,10.2,10.2,10.2,3.0,17.4,0.0,0.0,0.0,0.0
Kyle Schwarber,,OF,5500,CHC,KC,4.36,Duffy,0.260,-13%,L,L,0.303,-10%,0.165,-28%,5,,-1,0%,-1%,-12%,8.2,8.2,8.2,1.5,14.9,5.9,1.1,0.0,0.0
Nolan Arenado,,3B,5500,COL,SF,7.05,Cueto,0.324,0%,R,R,0.365,-9%,0.238,-15%,4,,0,12%,2%,0%,4.1,4.1,4.1,1.2,7.1,10.1,1.8,0.0,0.0
Ramon Laureano,,OF,5400,OAK,@SEA,5.16,Sheffield,,2%,L,R,0.347,0%,0.194,0%,2,,0,-2%,3%,0%,9.2,9.2,9.2,0.2,18.3,9.4,1.7,0.0,0.0
Matt Olson,,1B,5400,OAK,@SEA,5.16,Sheffield,,-4%,L,L,0.314,-10%,0.188,-21%,5,,-1,-3%,3%,0%,5.4,5.4,5.4,-2.7,13.6,7.5,1.4,0.0,0.0
Keston Hiura,,2B,5300,MIL,CWS,4.82,Rodon,0.310,-3%,L,R,0.289,-2%,0.120,-3%,2,,1,1%,-3%,0%,9.8,9.8,9.8,1.9,17.7,8.6,1.6,0.0,0.0
Anthony Rizzo,,1B,5300,CHC,KC,4.36,Duffy,0.260,-13%,L,L,0.348,-7%,0.190,-10%,2,,0,0%,-1%,-11%,9.7,9.7,9.7,1.7,17.7,6.8,1.3,0.0,0.0
David Dahl,,OF,5300,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.368,3%,0.246,9%,1,,0,10%,2%,0%,7.0,7.0,7.0,3.1,10.9,10.6,2.0,0.0,0.0
Max Muncy,,1B/2B,5200,LAD,@SD,4.20,Paddack,0.280,-10%,R,L,0.393,2%,0.299,4%,2,,0,-7%,-1%,2%,9.2,9.2,9.2,-2.1,20.5,7.9,1.5,0.0,0.0
Alex Dickerson,,OF,5200,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.354,4%,0.222,9%,2,,1,30%,2%,0%,7.4,7.4,7.4,-2.2,17.1,12.5,2.4,0.0,0.0
Tyler Heineman,,C,5200,SF,@COL,6.45,Gonzalez,0.370,5%,R,S,,2%,,3%,x,x,-,0%,0%,0%,6.8,6.8,6.8,3.9,9.8,0.0,0.0,0.0,0.0
Marcus Semien,,SS,5200,OAK,@SEA,5.16,Sheffield,,2%,L,R,0.343,1%,0.208,9%,1,,0,-2%,2%,0%,5.2,5.2,5.2,1.2,9.2,9.1,1.8,0.0,0.0
Aaron Judge,,OF,5100,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.369,-4%,0.244,-4%,2,,0,0%,4%,0%,15.9,15.9,15.9,3.7,28.1,9.3,1.8,0.0,0.0
Freddie Freeman,,1B,5100,ATL,NYM,3.86,deGrom,0.274,-11%,R,L,0.392,3%,0.233,4%,3,,0,0%,0%,0%,8.3,8.3,8.3,-0.4,17.0,8.5,1.7,0.0,0.0
Matt Chapman,,3B,5100,OAK,@SEA,5.16,Sheffield,,2%,L,R,0.348,-3%,0.220,-8%,4,,-1,-2%,3%,0%,5.4,5.4,5.4,-0.1,11.0,8.8,1.7,0.0,0.0
Mauricio Dubon,,2B/SS,5100,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.303,-2%,0.118,-7%,x,x,-,0%,0%,0%,4.8,4.8,4.8,-0.7,10.4,0.0,0.0,0.0,0.0
Fernando Tatis Jr.,,SS,5000,SD,LAD,3.80,Buehler,0.271,-11%,R,R,0.367,-3%,0.265,3%,1,,0,-3%,-1%,2%,12.1,12.1,12.1,5.4,18.8,8.2,1.6,0.0,0.0
Donovan Solano,,2B/3B,5000,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.328,-2%,0.130,-5%,3,,2,30%,1%,0%,13.9,13.9,13.9,7.0,20.7,9.6,1.9,0.0,0.0
Bryce Harper,,OF,5000,PHI,@NYY,3.36,Cole,0.289,-8%,R,L,0.366,1%,0.241,3%,3,,0,-1%,3%,0%,10.3,10.3,10.3,1.3,19.4,9.2,1.8,0.0,0.0
Ronald Acuna Jr.,,OF,5000,ATL,NYM,3.86,deGrom,0.241,-18%,R,R,0.371,-1%,0.236,-4%,1,,0,1%,0%,0%,6.9,6.9,6.9,0.1,13.7,8.3,1.7,0.0,0.0
Pete Alonso,,1B,5000,NYM,@ATL,4.14,Soroka,0.251,-15%,R,R,0.385,0%,0.315,-3%,3,,0,5%,0%,0%,5.6,5.6,5.6,-0.1,11.3,8.1,1.6,0.0,0.0
Omar Narvaez,,C,5000,MIL,CWS,4.82,Rodon,0.308,-5%,L,L,0.316,-7%,0.093,-29%,x,x,-,0%,0%,0%,5.8,5.8,5.8,-0.9,12.4,0.0,0.0,0.0,0.0
Evan Longoria,,3B,4900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.297,-3%,0.164,-7%,5,,0,35%,2%,0%,12.8,12.8,12.8,6.6,18.9,10.5,2.1,0.0,0.0
Mark Canha,,OF,4900,OAK,@SEA,5.16,Sheffield,,2%,L,R,0.340,-2%,0.252,15%,3,,2,-2%,3%,0%,8.4,8.4,8.4,3.1,13.7,8.8,1.8,0.0,0.0
Wilmer Flores,,1B/2B,4900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.338,-3%,0.150,-21%,6,,-4,32%,2%,0%,7.1,7.1,7.1,0.2,14.0,10.2,2.1,0.0,0.0
Cody Bellinger,,OF,4900,LAD,@SD,4.20,Paddack,0.280,-10%,R,L,0.396,4%,0.284,5%,4,,0,-5%,-1%,2%,6.0,6.0,6.0,1.5,10.5,9.2,1.9,0.0,0.0
Whit Merrifield,,2B/OF,4800,KC,@CHC,3.64,Mills,0.239,-9%,R,R,0.335,-3%,0.129,-15%,1,,0,2%,-1%,-9%,11.1,11.1,11.1,1.0,21.2,7.2,1.5,0.0,0.0
Javier Baez,,SS,4800,CHC,KC,4.36,Duffy,0.331,2%,L,R,0.378,5%,0.251,0%,3,,0,1%,-1%,-12%,9.1,9.1,9.1,-2.8,21.0,8.5,1.8,0.0,0.0
