Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Brandon Belt,,1B,4800,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.336,2%,0.189,9%,4,,0,29%,2%,0%,7.0,7.0,7.0,5.6,8.4,11.4,2.4,0.0,0.0
Kris Bryant,,3B,4800,CHC,KC,4.36,Duffy,0.331,2%,L,R,0.431,12%,0.304,31%,1,,0,1%,-1%,-11%,5.2,5.2,5.2,0.4,10.0,9.2,1.9,0.0,0.0
Josh Bell,,1B,4800,PIT,@MIN,3.94,Thorpe,,2%,L,S,0.315,-10%,0.185,-15%,3,,0,3%,0%,-2%,4.8,4.8,4.8,0.2,9.3,8.0,1.7,0.0,0.0
Gary Sanchez,,C,4800,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.322,-4%,0.255,-5%,7,,0,-1%,4%,0%,3.0,3.0,3.0,-1.0,7.0,7.1,1.5,0.0,0.0
Yasmani Grandal,,C,4700,CWS,@MIL,4.68,Anderson,0.333,2%,L,S,0.346,-2%,0.198,-6%,4,,0,2%,-3%,0%,7.6,7.6,7.6,-0.2,15.4,8.3,1.8,0.0,0.0
Ryan McMahon,,1B/2B,4700,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.312,-2%,0.168,-8%,6,,0,10%,2%,0%,7.3,7.3,7.3,1.0,13.5,8.4,1.8,0.0,0.0
Jeff McNeil,,3B,4700,NYM,@ATL,4.14,Soroka,0.314,-4%,R,L,0.389,3%,0.207,8%,x,x,-,0%,0%,0%,7.8,7.8,7.8,3.8,11.7,0.0,0.0,0.0,0.0
Michael Conforto,,OF,4700,NYM,@ATL,4.14,Soroka,0.314,-4%,R,L,0.362,6%,0.238,11%,2,,3,8%,0%,0%,7.0,7.0,7.0,1.7,12.3,9.9,2.1,0.0,0.0
Amed Rosario,,SS,4700,NYM,@ATL,4.14,Soroka,0.251,-15%,R,R,0.292,-5%,0.120,-13%,9,,-6,8%,0%,0%,6.1,6.1,6.1,0.6,11.7,6.0,1.3,0.0,0.0
Miguel Sano,,1B,4700,MIN,PIT,5.56,Holland,0.377,12%,L,R,0.367,4%,0.289,5%,4,,3,0%,-1%,-2%,5.3,5.3,5.3,-5.1,15.6,8.8,1.9,0.0,0.0
Dansby Swanson,,SS,4600,ATL,NYM,3.86,deGrom,0.241,-18%,R,R,0.308,0%,0.166,1%,7,,-2,1%,0%,0%,12.1,12.1,12.1,2.3,21.9,5.9,1.3,0.0,0.0
J.T. Realmuto,,C,4600,PHI,@NYY,3.36,Cole,0.279,-10%,R,R,0.355,4%,0.211,3%,4,,0,-4%,3%,0%,7.0,7.0,7.0,-2.6,16.6,7.8,1.7,0.0,0.0
Mike Ford,,1B,4600,NYY,PHI,5.64,Arrieta,0.339,3%,R,L,0.324,0%,0.191,-1%,5,,1,0%,4%,0%,6.0,6.0,6.0,6.0,6.0,8.8,1.9,0.0,0.0
Hunter Pence,,OF,4600,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.317,-3%,0.160,-10%,x,x,-,0%,0%,0%,1.8,1.8,1.8,-2.5,6.0,0.0,0.0,0.0,0.0
Pablo Sandoval,,1B/3B,4600,SF,@COL,6.45,Gonzalez,0.370,5%,R,S,0.335,8%,0.216,11%,x,x,-,0%,0%,0%,1.8,1.8,1.8,-0.4,3.9,0.0,0.0,0.0,0.0
Kean Wong,,2B,4600,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,,2%,,3%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nelson Cruz,,OF,4500,MIN,PIT,5.56,Holland,0.377,12%,L,R,0.405,4%,0.324,12%,3,,1,0%,-1%,-2%,11.8,11.8,11.8,-4.3,27.9,11.1,2.5,0.0,0.0
Willson Contreras,,C,4500,CHC,KC,4.36,Duffy,0.331,2%,L,R,0.379,8%,0.231,15%,4,,1,1%,-1%,-11%,8.8,8.8,8.8,1.0,16.5,7.9,1.8,0.0,0.0
Daniel Murphy,,1B,4500,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.335,-2%,0.179,1%,5,,0,10%,2%,0%,8.5,8.5,8.5,-0.8,17.8,9.1,2.0,0.0,0.0
Justin Turner,,3B,4500,LAD,@SD,4.20,Paddack,0.255,-14%,R,R,0.369,-3%,0.184,-14%,3,,0,-3%,0%,2%,8.4,8.4,8.4,3.0,13.8,7.1,1.6,0.0,0.0
Ozzie Albies,,2B,4500,ATL,NYM,3.86,deGrom,0.274,-11%,R,S,0.313,-8%,0.179,-9%,2,,0,0%,0%,0%,6.8,6.8,6.8,-3.8,17.3,7.3,1.6,0.0,0.0
Ryan Braun,,OF,4500,MIL,CWS,4.82,Rodon,0.310,-3%,L,R,0.381,8%,0.270,20%,x,x,-,0%,0%,0%,4.7,4.7,4.7,0.2,9.2,0.0,0.0,0.0,0.0
Brendan Rodgers,,2B/SS,4500,COL,SF,7.05,Cueto,0.324,0%,R,R,0.241,-4%,0.038,-11%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Billy Hamilton,,OF,4500,SF,@COL,6.45,Gonzalez,0.370,5%,R,S,0.272,4%,0.068,-14%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corey Seager,,SS,4400,LAD,@SD,4.20,Paddack,0.280,-10%,R,L,0.358,4%,0.216,12%,6,,-1,-5%,0%,2%,11.3,11.3,11.3,6.2,16.5,7.5,1.7,0.0,0.0
Tommy Pham,,OF,4400,SD,LAD,3.80,Buehler,0.271,-11%,R,R,0.338,-5%,0.192,1%,4,,0,-3%,0%,2%,11.1,11.1,11.1,1.3,20.9,7.3,1.7,0.0,0.0
Manny Machado,,3B,4400,SD,LAD,3.80,Buehler,0.271,-11%,R,R,0.338,-6%,0.201,-10%,3,,0,-3%,-1%,2%,9.0,9.0,9.0,2.3,15.7,7.2,1.6,0.0,0.0
Yoan Moncada,,3B,4400,CWS,@MIL,4.68,Anderson,0.333,2%,L,S,0.302,-8%,0.139,-21%,2,,0,3%,-3%,0%,8.6,8.6,8.6,0.4,16.8,8.6,2.0,0.0,0.0
Avisail Garcia,,OF,4400,MIL,CWS,4.82,Rodon,0.310,-3%,L,R,0.352,6%,0.171,-6%,4,,2,1%,-3%,0%,6.8,6.8,6.8,1.9,11.7,8.1,1.8,0.0,0.0
Sam Hilliard,,OF,4400,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.393,4%,0.371,14%,x,x,-,0%,0%,0%,6.4,6.4,6.4,-1.9,14.7,0.0,0.0,0.0,0.0
Aaron Hicks,,OF,4400,NYY,PHI,5.64,Arrieta,0.339,3%,R,S,0.360,7%,0.221,10%,3,,2,0%,3%,0%,5.7,5.7,5.7,-0.4,11.8,9.3,2.1,0.0,0.0
Mitch Garver,,C,4400,MIN,PIT,5.56,Holland,0.377,12%,L,R,0.375,3%,0.259,5%,1,,5,1%,0%,-2%,5.0,5.0,5.0,-0.8,10.8,9.7,2.2,0.0,0.0
Edwin Encarnacion,,1B,4400,CWS,@MIL,4.68,Anderson,0.333,2%,L,R,0.368,3%,0.243,-3%,x,x,-,0%,0%,0%,4.9,4.9,4.9,-0.9,10.6,0.0,0.0,0.0,0.0
Brandon Crawford,,SS,4400,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.292,-1%,0.133,4%,7,,0,28%,2%,0%,3.4,3.4,3.4,-0.9,7.6,8.1,1.8,0.0,0.0
Yolmer Sanchez,,2B,4400,SF,@COL,6.45,Gonzalez,0.370,5%,R,S,,2%,,3%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Anderson,,SS,4300,CWS,@MIL,4.68,Anderson,0.333,2%,L,R,0.343,4%,0.165,0%,x,x,-,0%,0%,0%,9.0,9.0,9.0,-0.2,18.2,0.0,0.0,0.0,0.0
Maikel Franco,,3B,4300,KC,@CHC,3.64,Mills,0.239,-9%,R,R,0.312,1%,0.190,0%,6,,-1,3%,-1%,-12%,7.4,7.4,7.4,-3.8,18.6,6.0,1.4,0.0,0.0
Gleyber Torres,,SS,4300,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.346,-2%,0.217,-8%,x,x,-,0%,0%,0%,4.5,4.5,4.5,-2.9,11.9,0.0,0.0,0.0,0.0
Garrett Hampson,,2B/OF,4300,COL,SF,7.05,Cueto,0.324,0%,R,R,0.292,-3%,0.118,-11%,x,x,-,0%,0%,0%,7.0,7.0,7.0,5.0,9.0,0.0,0.0,0.0,0.0
Steven Duggar,,OF,4300,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.284,1%,0.143,10%,9,,0,25%,1%,0%,3.5,3.5,3.5,-1.4,8.4,8.3,1.9,0.0,0.0
Chris Shaw,,1B/OF,4300,SF,@COL,6.45,Gonzalez,0.370,5%,R,L,0.201,-3%,0.063,-6%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Grisham,,OF,4200,SD,LAD,3.80,Buehler,0.259,-14%,R,L,0.319,1%,0.177,2%,2,,1,-3%,0%,2%,11.4,11.4,11.4,3.2,19.6,7.1,1.7,0.0,0.0
Marcell Ozuna,,OF,4200,ATL,NYM,3.86,deGrom,0.241,-18%,R,R,0.325,-4%,0.176,-8%,4,,0,1%,0%,0%,10.2,10.2,10.2,2.3,18.1,6.9,1.6,0.0,0.0
Jose Abreu,,1B,4200,CWS,@MIL,4.68,Anderson,0.333,2%,L,R,0.398,13%,0.250,12%,3,,0,2%,-3%,0%,8.0,8.0,8.0,0.9,15.1,10.0,2.4,0.0,0.0
J.D. Davis,,3B/OF,4200,NYM,@ATL,4.14,Soroka,0.251,-15%,R,R,0.337,-2%,0.183,-5%,5,,0,7%,0%,0%,7.7,7.7,7.7,-0.8,16.1,6.9,1.6,0.0,0.0
Jorge Soler,,OF,4200,KC,@CHC,3.64,Mills,0.239,-9%,R,R,0.367,1%,0.275,3%,2,,0,5%,-1%,-13%,7.6,7.6,7.6,1.7,13.5,7.5,1.8,0.0,0.0
Yoenis Cespedes,,OF,4200,NYM,@ATL,4.14,Soroka,0.251,-15%,R,R,0.364,-1%,0.261,0%,x,x,-,0%,0%,0%,6.4,6.4,6.4,0.1,12.6,0.0,0.0,0.0,0.0
Eric Sogard,,2B/SS,4200,MIL,CWS,4.82,Rodon,0.308,-5%,L,L,0.338,-1%,0.190,2%,x,x,-,0%,0%,0%,5.8,5.8,5.8,0.3,11.3,0.0,0.0,0.0,0.0
Austin Slater,,1B/OF,4200,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.286,-4%,0.105,-6%,x,x,-,0%,0%,0%,5.0,5.0,5.0,0.6,9.4,0.0,0.0,0.0,0.0
Sean Murphy,,C,4200,OAK,@SEA,5.16,Sheffield,,2%,L,R,,2%,,7%,9,,-1,-2%,3%,0%,3.8,3.8,3.8,-1.2,8.9,5.8,1.4,0.0,0.0
Joey Rickard,,OF,4200,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,0.278,-6%,0.142,-2%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJ LeMahieu,,2B,4100,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.325,-10%,0.148,-15%,1,,0,-1%,3%,0%,9.6,9.6,9.6,-0.2,19.4,7.1,1.7,0.0,0.0
Max Kepler,,OF,4100,MIN,PIT,5.56,Holland,0.254,-15%,L,L,0.294,-7%,0.158,-22%,5,,-4,0%,0%,-2%,8.5,8.5,8.5,-1.6,18.6,6.5,1.6,0.0,0.0
Dominic Smith,,1B/OF,4100,NYM,@ATL,4.14,Soroka,0.314,-4%,R,L,0.334,3%,0.227,9%,7,,0,9%,0%,0%,8.0,8.0,8.0,1.3,14.7,7.3,1.8,0.0,0.0
Adalberto Mondesi,,SS,4100,KC,@CHC,3.64,Mills,,-3%,R,S,0.321,5%,0.197,13%,8,,-4,0%,-1%,-8%,5.4,5.4,5.4,0.2,10.7,7.4,1.8,0.0,0.0
Raimel Tapia,,OF,4100,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.313,3%,0.160,8%,x,x,-,0%,0%,0%,3.5,3.5,3.5,-2.2,9.2,0.0,0.0,0.0,0.0
Khris Davis,,OF,4100,OAK,@SEA,5.16,Sheffield,,2%,L,R,0.355,6%,0.260,6%,7,,-1,0%,3%,0%,1.5,1.5,1.5,-1.0,4.0,8.7,2.1,0.0,0.0
Dom Nunez,,C,4100,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.277,1%,0.243,6%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Fuentes,,1B,4100,COL,SF,7.05,Cueto,0.324,0%,R,R,0.355,-1%,0.281,1%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew McCutchen,,OF,4100,PHI,@NYY,3.36,Cole,0.279,-10%,R,R,0.347,-4%,0.178,-11%,1,,0,-3%,3%,0%,0.0,0.0,0.0,0.0,0.0,7.7,1.9,0.0,0.0
Gio Urshela,,3B,4000,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.359,2%,0.191,-1%,6,,2,-1%,3%,0%,10.1,10.1,10.1,1.7,18.6,7.2,1.8,0.0,0.0
Eloy Jimenez,,OF,4000,CWS,@MIL,4.68,Anderson,0.333,2%,L,R,0.329,0%,0.200,-1%,5,,1,3%,-3%,0%,11.0,11.0,11.0,-0.7,22.7,9.1,2.3,0.0,0.0
Kyle Seager,,3B,4000,SEA,OAK,3.84,Montas,0.347,4%,R,L,0.289,-7%,0.193,-4%,4,,0,-4%,2%,0%,10.0,10.0,10.0,3.5,16.5,7.1,1.8,0.0,0.0
Luke Voit,,1B,4000,NYY,PHI,5.64,Arrieta,0.281,-9%,R,R,0.381,1%,0.227,-5%,x,x,-,0%,0%,0%,9.0,9.0,9.0,0.6,17.4,0.0,0.0,0.0,0.0
Eddie Rosario,,OF,4000,MIN,PIT,5.56,Holland,0.254,-15%,L,L,0.302,-7%,0.121,-35%,x,x,-,0%,0%,0%,7.9,7.9,7.9,1.4,14.4,0.0,0.0,0.0,0.0
Shed Long Jr.,,2B,4000,SEA,OAK,3.84,Montas,0.347,4%,R,L,0.307,0%,0.172,1%,2,,2,-5%,2%,0%,7.9,7.9,7.9,0.5,15.3,7.5,1.9,0.0,0.0
Lorenzo Cain,,OF,4000,MIL,CWS,4.82,Rodon,0.310,-3%,L,R,0.371,10%,0.179,41%,x,x,-,0%,0%,0%,7.6,7.6,7.6,0.1,15.1,0.0,0.0,0.0,0.0
Jorge Polanco,,SS,4000,MIN,PIT,5.56,Holland,0.377,12%,L,S,0.300,-12%,0.152,-11%,x,x,-,0%,0%,0%,6.8,6.8,6.8,-0.4,14.0,0.0,0.0,0.0,0.0
Salvador Perez,,C,4000,KC,@CHC,3.64,Mills,0.239,-9%,R,R,0.305,-2%,0.217,0%,4,,-1,4%,-1%,-13%,6.4,6.4,6.4,0.2,12.6,6.2,1.6,0.0,0.0
Jurickson Profar,,2B,4000,SD,LAD,3.80,Buehler,0.259,-14%,R,S,0.314,-1%,0.210,13%,9,,-3,-3%,0%,2%,6.0,6.0,6.0,-3.7,15.7,5.5,1.4,0.0,0.0
Justin Smoak,,1B,4000,MIL,CWS,4.82,Rodon,0.310,-3%,L,S,0.325,-5%,0.154,-25%,6,,0,1%,-3%,0%,5.5,5.5,5.5,-0.8,11.8,6.7,1.7,0.0,0.0
Ryon Healy,,1B/3B,4000,MIL,CWS,4.82,Rodon,0.310,-3%,L,R,0.320,1%,0.181,-5%,1,,0,1%,-3%,0%,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0
Seth Brown,,OF,4000,OAK,@SEA,5.16,Sheffield,,-4%,L,L,,-6%,,-17%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luis Robert,,OF,3900,CWS,@MIL,4.68,Anderson,0.333,2%,L,R,,2%,,7%,1,,4,3%,-3%,0%,10.2,10.2,10.2,1.0,19.4,10.1,2.6,0.0,0.0
Wil Myers,,1B/OF,3900,SD,LAD,3.80,Buehler,0.271,-11%,R,R,0.307,-6%,0.160,-16%,6,,0,-3%,-1%,2%,9.5,9.5,9.5,1.9,17.1,6.2,1.6,0.0,0.0
Ian Happ,,3B/OF,3900,CHC,KC,4.36,Duffy,0.331,2%,L,S,0.302,-4%,0.167,-7%,9,,-3,1%,-1%,-12%,10.5,10.5,10.5,2.9,18.1,6.2,1.6,0.0,0.0
Darin Ruf,,1B,3900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,,-2%,,-2%,x,x,-,0%,0%,0%,10.0,10.0,10.0,1.1,18.9,0.0,0.0,0.0,0.0
Josh Donaldson,,3B,3900,MIN,PIT,5.56,Holland,0.377,12%,L,R,0.391,3%,0.272,5%,x,x,-,0%,0%,0%,5.7,5.7,5.7,-1.5,12.8,0.0,0.0,0.0,0.0
Tony Kemp,,2B/OF,3900,OAK,@SEA,5.16,Sheffield,,-4%,L,L,0.284,-6%,0.101,-20%,x,x,-,0%,0%,0%,5.5,5.5,5.5,1.1,9.9,0.0,0.0,0.0,0.0
Tony Wolters,,C,3900,COL,SF,7.05,Cueto,0.320,-1%,R,L,0.269,-2%,0.080,3%,9,,0,10%,1%,0%,3.7,3.7,3.7,0.2,7.1,6.3,1.6,0.0,0.0
Adam Duvall,,OF,3900,ATL,NYM,3.86,deGrom,0.241,-18%,R,R,0.287,-8%,0.189,-13%,x,x,-,0%,0%,0%,11.7,11.7,11.7,7.2,16.2,0.0,0.0,0.0,0.0
Joey Bart,,C,3900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,,-2%,,-2%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Will Wilson,,SS,3900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,,-2%,,-2%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abiatal Avelino,,SS,3900,SF,@COL,6.45,Gonzalez,0.308,0%,R,R,,-2%,,-2%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Socrates Brito,,OF,3900,PIT,@MIN,3.94,Thorpe,,-4%,L,L,,-6%,,-17%,x,x,-,0%,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Kemp,,OF,3800,COL,SF,7.05,Cueto,0.324,0%,R,R,0.321,-4%,0.142,-19%,7,,-1,12%,2%,0%,13.3,13.3,13.3,7.1,19.4,8.5,2.2,0.0,0.0
Rhys Hoskins,,1B,3800,PHI,@NYY,3.36,Cole,0.279,-10%,R,R,0.353,-1%,0.251,2%,2,,0,-4%,3%,0%,8.7,8.7,8.7,4.6,12.7,7.9,2.1,0.0,0.0
Brandon Nimmo,,OF,3800,NYM,@ATL,4.14,Soroka,0.314,-4%,R,L,0.371,2%,0.213,8%,1,,4,7%,0%,0%,8.3,8.3,8.3,3.1,13.5,8.7,2.3,0.0,0.0
Adam Frazier,,2B,3800,PIT,@MIN,3.94,Thorpe,,-4%,L,L,0.289,-10%,0.079,-34%,x,x,-,0%,0%,0%,4.6,4.6,4.6,-1.6,10.7,0.0,0.0,0.0,0.0
Bryan Reynolds,,OF,3800,PIT,@MIN,3.94,Thorpe,,2%,L,S,0.320,-3%,0.174,2%,5,,0,3%,0%,-2%,4.6,4.6,4.6,-1.3,10.5,7.3,1.9,0.0,0.0
