Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Trevor Bauer,,SP,10600,CIN,@MIL,48%,4.07,7.5,,,3.90,28.2%,3.76,3.73,R,0.315,0.289,0%,0%,2%,36.4,36.4,36.4,36.3,36.5,20.8,2.0,0.0,0.0
Zack Greinke,,SP,10200,HOU,@OAK,46%,4.44,5.5,,,4.46,24.5%,3.68,3.51,R,0.283,0.281,1%,1%,0%,8.4,8.4,8.4,-0.8,17.7,16.5,1.6,0.0,0.0
Julio Urias,,SP,9800,LAD,SF,71%,3.43,5,,,4.57,23.4%,4.39,4.49,L,0.332,0.242,2%,0%,-2%,15.2,15.2,15.2,8.5,21.9,15.2,1.6,0.0,0.0
Aaron Civale,,SP,9300,CLE,@CWS,56%,3.68,7,0.314,28.0%,4.77,20.3%,4.74,4.61,R,,0.261,3%,-1%,0%,24.6,24.6,24.6,21.6,27.6,18.8,2.0,0.0,0.0
Jon Lester,,SP,9100,CHC,@STL,53%,4.12,4.5,,,3.60,21.6%,4.37,4.21,L,0.299,0.330,6%,0%,0%,16.3,16.3,16.3,16.0,16.6,13.4,1.5,0.0,0.0
Matthew Boyd,,SP,8900,DET,@PIT,52%,3.89,6.5,0.315,22.0%,3.46,24.1%,4.19,4.48,L,0.290,0.330,2%,-1%,-1%,5.6,5.6,5.6,-0.5,11.6,17.9,2.0,0.0,0.0
Dylan Cease,,SP,8600,CWS,CLE,43%,4.32,6,0.317,22.6%,3.36,24.9%,4.60,4.42,R,0.380,0.325,1%,-1%,0%,6.2,6.2,6.2,-10.4,22.8,15.3,1.8,0.0,0.0
Chris Bassitt,,SP,8300,OAK,HOU,54%,4.06,5,,,5.92,22.3%,4.47,4.58,R,0.289,0.300,2%,1%,0%,20.9,20.9,20.9,13.1,28.6,14.1,1.7,0.0,0.0
Griffin Canning,,SP,8200,LAA,@TEX,62%,3.90,6,,,3.27,25.0%,4.33,4.75,R,0.299,0.325,-1%,-1%,0%,15.8,15.8,15.8,14.5,17.1,16.0,2.0,0.0,0.0
Tanner Roark,,SP,8100,TOR,@BOS,49%,5.32,4,0.343,18.6%,4.33,20.8%,4.43,4.40,R,0.333,0.295,-7%,-1%,2%,21.4,21.4,21.4,21.4,21.4,10.5,1.3,0.0,0.0
Luke Weaver,,SP,8000,ARI,@SD,46%,4.45,5.5,,,5.54,23.4%,4.08,3.96,R,0.331,0.313,2%,0%,0%,1.3,1.3,1.3,0.9,1.6,14.2,1.8,0.0,0.0
Michael Wacha,,SP,7900,NYM,MIA,62%,3.92,4,0.328,21.4%,4.57,20.6%,4.56,4.24,R,0.310,0.337,6%,-1%,0%,11.6,11.6,11.6,3.0,20.2,11.8,1.5,0.0,0.0
Zach Davies,,SP,7800,SD,ARI,54%,4.05,4,,,3.69,15.6%,4.98,4.70,R,0.329,0.309,0%,1%,0%,12.3,12.3,12.3,3.8,20.7,10.7,1.4,0.0,0.0
Jordan Lyles,,RP,7600,TEX,LAA,38%,5.10,4.5,,,5.08,22.0%,4.32,4.46,R,0.361,0.321,0%,-2%,0%,-1.8,-1.8,-1.8,-1.8,-1.8,11.0,1.4,0.0,0.0
Daniel Ponce de Leon,,RP,7500,STL,CHC,47%,4.38,5,,,5.00,24.8%,4.50,4.58,R,0.231,0.318,2%,0%,0%,14.7,14.7,14.7,14.7,14.7,12.8,1.7,0.0,0.0
Chad Kuhl,,SP,7400,PIT,DET,48%,4.11,6,0.301,24.8%,3.80,21.2%,4.64,4.51,R,0.370,0.309,1%,-1%,-1%,0.0,0.0,0.0,0.0,0.0,16.9,2.3,0.0,0.0
Jakob Junis,,SP,7300,KC,MIN,43%,4.82,5.5,0.334,22.9%,5.23,20.9%,4.35,4.47,R,0.343,0.323,-1%,0%,0%,5.0,5.0,5.0,5.0,5.0,13.8,1.9,0.0,0.0
Eric Lauer,,SP,7000,MIL,CIN,52%,3.93,4.5,0.343,21.6%,4.00,20.6%,4.68,4.66,L,0.377,0.318,-1%,0%,3%,0.0,0.0,0.0,0.0,0.0,11.5,1.6,0.0,0.0
Vince Velasquez,,SP,6900,PHI,ATL,49%,5.05,5,0.323,23.0%,5.29,24.6%,4.28,4.44,R,0.357,0.317,0%,0%,0%,3.1,3.1,3.1,3.1,3.1,13.4,1.9,0.0,0.0
Jeff Samardzija,,SP,6400,SF,@LAD,28%,5.57,4,,,5.38,20.9%,4.39,4.46,R,0.327,0.283,8%,0%,-3%,-1.0,-1.0,-1.0,-2.4,0.4,10.9,1.7,0.0,0.0
Devin Smeltzer,,RP,6300,MIN,@KC,56%,4.18,4.5,0.313,20.0%,4.14,18.8%,4.68,4.85,L,,0.313,-1%,0%,0%,0.0,0.0,0.0,0.0,0.0,12.8,2.0,0.0,0.0
Kyle Wright,,SP,6100,ATL,@PHI,51%,4.95,4.5,0.335,20.6%,5.00,,,,R,,,1%,0%,0%,5.0,5.0,5.0,-5.2,15.1,12.3,2.0,0.0,0.0
Antonio Senzatela,,SP,5800,COL,@SEA,46%,4.18,3.5,,,4.07,16.1%,4.91,4.62,R,0.345,0.341,22%,-1%,0%,19.2,19.2,19.2,11.6,26.7,10.2,1.8,0.0,0.0
Ryan Weber,,RP,5300,BOS,TOR,51%,5.18,3.5,0.327,25.2%,3.10,13.6%,4.65,4.82,R,0.369,,-4%,-2%,3%,-6.2,-6.2,-6.2,-10.4,-2.1,8.6,1.6,0.0,0.0
Yusei Kikuchi,,SP,5000,SEA,COL,54%,3.82,4.5,,,5.33,16.1%,5.17,5.18,L,0.340,0.374,3%,-1%,0%,15.0,15.0,15.0,-5.0,35.0,13.2,2.6,0.0,0.0
