Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Gerrit Cole,,SP,10700,NYY,@TB,59%,2.69,8,,,4.25,32.4%,3.16,3.10,R,0.289,0.279,3%,0%,0%,22.4,22.4,22.4,20.2,24.6,24.7,2.3,0.0,0.0
Clayton Kershaw,,SP,10500,LAD,SF,73%,2.95,6.5,,,4.57,26.8%,3.42,3.18,L,0.252,0.265,2%,0%,-2%,26.9,26.9,26.9,26.9,26.9,19.8,1.9,0.0,0.0
Jake Odorizzi,,SP,10100,MIN,@KC,60%,4.21,6,,,4.14,23.7%,4.50,4.76,R,0.300,0.301,-1%,-1%,0%,0.0,0.0,0.0,0.0,0.0,15.6,1.5,0.0,0.0
Merrill Kelly,,SP,10000,ARI,@SD,40%,4.16,4.5,,,5.54,20.3%,4.73,4.58,R,0.325,0.313,2%,0%,0%,20.5,20.5,20.5,5.8,35.1,13.0,1.3,0.0,0.0
Tyler Glasnow,,SP,9400,TB,NYY,41%,3.31,7,,,5.42,26.7%,4.04,3.91,R,0.324,0.316,1%,0%,0%,18.1,18.1,18.1,10.8,25.3,19.0,2.0,0.0,0.0
Framber Valdez,,RP,8700,HOU,@OAK,43%,4.58,5,,,4.46,21.1%,4.67,4.30,L,,0.338,1%,-1%,0%,6.8,6.8,6.8,6.8,6.8,14.2,1.6,0.0,0.0
Anthony DeSclafani,,SP,8400,CIN,@MIL,48%,4.59,5,,,3.90,23.3%,4.15,4.12,R,0.353,0.276,0%,-2%,0%,13.4,13.4,13.4,13.4,13.4,13.0,1.5,0.0,0.0
Frankie Montas,,SP,8200,OAK,HOU,56%,3.92,5.5,,,5.92,22.0%,4.26,4.13,R,0.347,0.299,2%,-1%,0%,17.6,17.6,17.6,5.9,29.3,16.5,2.0,0.0,0.0
Chris Paddack,,SP,7900,SD,ARI,60%,3.34,6,,,3.69,26.9%,3.83,4.05,R,0.280,0.255,0%,0%,0%,18.9,18.9,18.9,15.4,22.3,17.4,2.2,0.0,0.0
Zach Plesac,,RP,7700,CLE,@CWS,54%,4.29,5,,,4.77,18.5%,5.13,5.06,R,0.294,0.330,5%,-2%,0%,28.5,28.5,28.5,14.7,42.2,13.7,1.8,0.0,0.0
Kolby Allard,,SP,7300,TEX,LAA,43%,4.84,4,,,5.08,14.1%,5.55,5.42,L,,0.345,0%,-2%,0%,10.6,10.6,10.6,10.6,10.6,10.7,1.5,0.0,0.0
David Peterson,,SP,7200,NYM,MIA,,,4.5,,,4.57,,,,L,,,5%,-1%,-2%,16.6,16.6,16.6,12.0,21.3,12.6,1.8,0.0,0.0
Brett Anderson,,SP,7100,MIL,CIN,52%,4.41,3,,,4.00,13.2%,4.84,4.47,L,0.315,0.333,-1%,-2%,0%,3.1,3.1,3.1,3.1,3.1,9.0,1.3,0.0,0.0
Patrick Sandoval,,SP,6900,LAA,@TEX,56%,4.16,4.5,,,3.27,24.9%,4.56,4.02,L,,0.290,-2%,-2%,0%,12.0,12.0,12.0,12.0,12.0,13.0,1.9,0.0,0.0
Danny Duffy,,SP,6700,KC,MIN,40%,5.29,5,,,5.23,20.8%,4.64,4.81,L,0.260,0.331,-1%,-2%,0%,14.3,14.3,14.3,8.1,20.5,12.7,1.9,0.0,0.0
Derek Holland,,SP,6500,PIT,DET,53%,4.58,4.5,,,3.80,20.5%,4.85,4.92,L,0.254,0.377,1%,-3%,-1%,13.2,13.2,13.2,10.3,16.0,11.9,1.8,0.0,0.0
Ivan Nova,,SP,6300,DET,@PIT,47%,4.92,3.5,,,3.46,15.8%,4.69,4.47,R,0.355,0.321,6%,-5%,-2%,7.5,7.5,7.5,4.0,11.0,8.7,1.4,0.0,0.0
Zack Godley,,SP,5800,BOS,TOR,51%,5.18,4,,,3.10,23.0%,4.24,4.04,R,0.326,0.313,-3%,-2%,0%,-5.3,-5.3,-5.3,-5.3,-5.3,10.1,1.7,0.0,0.0
Chase Anderson,,SP,5600,TOR,@BOS,49%,5.32,4.5,,,4.33,21.3%,4.57,4.79,R,0.281,0.332,-6%,-2%,0%,0.0,0.0,0.0,0.0,0.0,10.8,1.9,0.0,0.0
Nick Margevicius,,SP,5500,SEA,COL,53%,4.61,4,,,5.33,16.0%,5.13,4.96,L,,0.333,3%,0%,0%,0.0,0.0,0.0,0.0,0.0,11.8,2.1,0.0,0.0
Johnny Cueto,,SP,5100,SF,@LAD,27%,5.05,4,,,5.38,20.1%,4.56,4.50,R,0.320,0.324,6%,0%,-3%,7.8,7.8,7.8,3.9,11.7,11.7,2.3,0.0,0.0
Ryan Castellani,,SP,4000,COL,@SEA,47%,4.89,3.5,,,4.07,,,,R,,,24%,0%,0%,0.0,0.0,0.0,0.0,0.0,10.1,2.5,0.0,0.0
Matt Foster,,RP,4000,CWS,CLE,46%,4.71,5.5,,,3.36,,,,,,,1%,-2%,0%,0.0,0.0,0.0,0.0,0.0,14.1,3.5,0.0,0.0
