Player Name,Likes,Pos,Salary,Team,Opp,RS,Pitcher Name,Pitcher wOBA,Pitcher wOBA Diff,Pitcher Handedness,Hitter Handedness,Hitter wOBA,Hitter wOBA Diff,Hitter ISO,Hitter ISO Diff,Batting Order (Confirmed),Batting Order (Projected),Batting Order Diff,Park Factor,Temperature Factor,Wind Factor,L10 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Mike Trout,,OF,6200,LAA,@SEA,5.20,Dunn,,-1%,R,R,0.453,4%,0.358,15%,,2,,-3%,2%,0%,8.3,8.3,8.3,-0.1,16.8,11.9,1.9,0.0,0.0
Mookie Betts,,OF,6000,LAD,@SD,4.19,Lamet,0.261,-11%,R,R,0.412,2%,0.258,2%,,2,,-3%,-1%,0%,10.2,10.2,10.2,3.0,17.4,8.8,1.5,0.0,0.0
Mike Yastrzemski,,OF,5900,SF,@COL,4.96,Marquez,0.335,2%,R,L,0.342,0%,0.249,6%,1,1,1,31%,1%,0%,13.0,12.4,12.4,3.3,21.5,11.5,1.9,0.0,0.0
Charlie Blackmon,,OF,5800,COL,SF,6.54,Gausman,0.316,-2%,R,L,0.381,0%,0.245,10%,3,3,0,11%,1%,0%,8.9,8.9,8.9,1.2,16.6,10.2,1.8,0.0,0.0
Trevor Story,,SS,5700,COL,SF,6.54,Gausman,0.340,4%,R,R,0.369,-5%,0.254,-9%,2,2,0,11%,1%,-1%,12.8,12.8,12.8,2.3,23.3,11.7,2.1,0.0,0.0
Kyle Schwarber,,OF,5700,CHC,KC,4.45,Singer,,1%,R,L,0.361,4%,0.281,12%,4,4,0,0%,-1%,-10%,7.6,7.6,7.6,1.0,14.2,8.3,1.5,0.0,0.0
Ronald Acuna Jr.,,OF,5600,ATL,TOR,4.86,Shoemaker,0.310,-4%,R,R,0.371,-1%,0.236,-4%,1,1,0,1%,1%,0%,7.6,7.2,7.2,0.7,13.7,9.9,1.8,0.0,0.0
Ramon Laureano,,OF,5500,OAK,TEX,4.11,Lynn,0.278,-10%,R,R,0.360,1%,0.231,4%,,2,,-2%,-2%,0%,10.4,10.4,10.4,1.1,19.7,7.7,1.4,0.0,0.0
Ketel Marte,,2B,5500,ARI,HOU,4.44,Javier,,1%,R,S,0.351,0%,0.195,-3%,1,1,0,3%,0%,0%,6.5,6.5,6.5,0.7,12.3,9.2,1.7,0.0,0.0
Anthony Rendon,,3B,5400,LAA,@SEA,5.20,Dunn,,-1%,R,R,0.397,-1%,0.241,-4%,,3,,-4%,2%,0%,9.8,9.8,9.8,3.4,16.3,9.0,1.7,0.0,0.0
Keston Hiura,,2B,5400,MIL,CWS,4.25,Giolito,0.313,-2%,R,R,0.418,6%,0.314,15%,2,3,0,1%,-2%,0%,9.4,9.4,9.4,2.2,16.7,9.3,1.7,0.0,0.0
Anthony Rizzo,,1B,5400,CHC,KC,4.45,Singer,,1%,R,L,0.390,5%,0.225,7%,2,2,0,0%,-1%,-9%,9.0,9.0,9.0,1.2,16.8,9.0,1.7,0.0,0.0
George Springer,,OF,5400,HOU,@ARI,5.06,Bumgarner,0.311,-3%,L,R,0.388,3%,0.240,0%,,1,,0%,0%,0%,7.6,7.6,7.6,-0.4,15.5,9.7,1.8,0.0,0.0
Jose Altuve,,2B,5300,HOU,@ARI,5.06,Bumgarner,0.311,-3%,L,R,0.387,3%,0.212,10%,,2,,1%,0%,0%,7.8,7.8,7.8,0.2,15.3,9.4,1.8,0.0,0.0
Nolan Arenado,,3B,5300,COL,SF,6.54,Gausman,0.340,4%,R,R,0.365,-9%,0.238,-15%,4,4,0,12%,1%,-1%,5.7,5.7,5.7,0.3,11.1,10.3,1.9,0.0,0.0
Christian Yelich,,OF,5300,MIL,CWS,4.25,Giolito,0.307,-4%,R,L,0.446,10%,0.323,23%,3,2,0,0%,-2%,0%,4.6,4.6,4.6,-2.1,11.3,10.2,1.9,0.0,0.0
Fernando Tatis Jr.,,SS,5200,SD,LAD,3.81,May,,-1%,R,R,0.367,-3%,0.265,3%,,1,,-3%,-1%,0%,12.6,12.5,12.5,6.0,18.9,9.0,1.7,0.0,0.0
Whit Merrifield,,2B/OF,5200,KC,@CHC,3.05,Hendricks,0.294,-6%,R,R,0.335,-3%,0.129,-15%,1,1,0,2%,-1%,-7%,10.1,10.1,10.1,-0.1,20.2,7.5,1.4,0.0,0.0
Max Muncy,,1B,5200,LAD,@SD,4.19,Lamet,0.346,3%,R,L,0.393,2%,0.299,4%,,1,,-6%,-1%,0%,8.3,8.4,8.4,-2.7,19.4,8.8,1.7,0.0,0.0
Freddie Freeman,,1B,5100,ATL,TOR,4.86,Shoemaker,0.305,-4%,R,L,0.392,3%,0.233,4%,3,3,0,0%,1%,0%,7.9,7.5,7.5,-1.1,16.2,9.4,1.8,0.0,0.0
David Dahl,,OF,5100,COL,SF,6.54,Gausman,0.316,-2%,R,L,0.368,3%,0.246,9%,1,1,0,10%,1%,0%,7.0,7.0,7.0,3.4,10.6,10.2,2.0,0.0,0.0
Marcus Semien,,SS,5100,OAK,TEX,4.11,Lynn,0.278,-10%,R,R,0.335,-1%,0.178,-6%,,1,,-2%,-2%,0%,5.4,5.4,5.4,1.6,9.2,7.2,1.4,0.0,0.0
Matt Chapman,,3B,5100,OAK,TEX,4.11,Lynn,0.278,-10%,R,R,0.365,2%,0.254,5%,,4,,-2%,-2%,0%,5.4,5.4,5.4,0.1,10.7,7.1,1.4,0.0,0.0
