Player Name,Likes,Pos,Salary,Team,Opp,Vegas Odds Win,Vegas Odds RA,Vegas Odds K,Opponent wOBA,Opponent K%,Opponent RS,K%,SIERA,xFIP,Handedness,wOBA vs L,wOBA vs R,Park Factor,Temperature Factor,Wind Factor,L5 FP,L80 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Yu Darvish,,SP,10400,CHC,@KC,65%,3.74,7,0.322,21.8%,3.64,29.0%,3.68,3.59,R,0.318,0.268,-1%,0%,0%,19.3,19.3,19.3,4.5,34.0,19.9,1.9,0.0,0.0
Hyun Jin Ryu,,SP,9500,TOR,@ATL,46%,4.71,5.5,0.340,22.5%,5.36,23.2%,3.85,3.54,L,0.307,0.283,-2%,0%,0%,5.7,5.7,5.7,2.9,8.5,14.1,1.5,0.0,0.0
Mike Clevinger,,SP,9200,CLE,CIN,61%,3.74,7,0.334,21.7%,5.00,28.3%,3.79,3.69,R,0.305,0.253,-1%,0%,1%,12.9,12.9,12.9,0.9,24.9,19.0,2.1,0.0,0.0
Sean Manaea,,SP,8600,OAK,TEX,61%,3.51,5,0.334,22.4%,3.38,19.1%,4.43,4.39,L,0.258,0.312,2%,2%,-1%,6.8,6.8,6.8,5.0,8.7,14.8,1.7,0.0,0.0
Lance McCullers Jr.,,SP,8300,HOU,@ARI,56%,4.39,5.5,0.333,20.0%,2.70,26.4%,3.53,3.30,R,0.279,0.325,-5%,0%,0%,11.8,11.8,11.8,-0.7,24.4,14.9,1.8,0.0,0.0
Kyle Gibson,,SP,8200,TEX,@OAK,39%,4.49,5,,,4.10,20.7%,4.38,4.01,R,0.349,0.319,4%,2%,-1%,14.4,14.4,14.4,14.4,14.4,13.7,1.7,0.0,0.0
Adrian Houser,,RP,8100,MIL,@CWS,45%,4.47,5,0.325,24.5%,5.60,24.0%,4.07,3.84,R,0.334,0.279,2%,0%,0%,14.9,14.9,14.9,14.9,14.9,13.9,1.7,0.0,0.0
Ross Stripling,,RP,7800,LAD,@SD,56%,3.75,5.5,0.323,23.7%,5.82,25.7%,3.39,3.27,R,0.277,0.321,-2%,0%,0%,19.6,19.6,19.6,5.8,33.4,15.0,1.9,0.0,0.0
Julio Teheran,,SP,7500,LAA,@SEA,53%,4.38,5,,,4.18,20.7%,4.89,4.98,R,0.324,0.300,4%,-2%,0%,0.0,0.0,0.0,0.0,0.0,13.1,1.7,0.0,0.0
Dallas Keuchel,,SP,7400,CWS,MIL,55%,4.03,5,0.327,22.7%,4.00,19.0%,4.05,3.73,L,0.261,0.310,1%,0%,0%,11.7,11.7,11.7,11.0,12.4,14.2,1.9,0.0,0.0
Randy Dobnak,,RP,7200,MIN,@PIT,62%,4.13,3,0.330,19.3%,3.40,,,,R,,,5%,-1%,0%,15.1,15.1,15.1,7.9,22.4,9.7,1.3,0.0,0.0
Aaron Nola,,SP,7100,PHI,@NYY,49%,3.80,6.5,,,5.67,26.8%,3.72,3.47,R,0.293,0.274,-2%,-2%,-2%,14.4,14.4,14.4,14.4,14.4,17.4,2.5,0.0,0.0
Jon Gray,,SP,7000,COL,SF,62%,5.02,5.5,0.326,21.8%,4.91,24.2%,3.92,3.61,R,0.326,0.309,-7%,-1%,0%,10.3,10.3,10.3,9.5,11.1,13.5,1.9,0.0,0.0
Jonathan Loaisiga,,SP,7000,NYY,PHI,51%,3.70,5.5,,,4.50,28.3%,3.95,3.78,R,,0.337,-1%,-2%,-2%,8.9,8.9,8.9,8.9,8.9,14.4,2.1,0.0,0.0
Marco Gonzales,,SP,6800,SEA,LAA,47%,4.62,4.5,,,4.90,18.7%,4.51,4.43,L,0.331,0.316,3%,-2%,0%,16.0,16.0,16.0,-0.8,32.8,13.8,2.0,0.0,0.0
Robbie Ray,,SP,6500,ARI,HOU,43%,5.11,6,0.350,,5.78,31.9%,3.81,3.67,L,0.267,0.320,-1%,0%,0%,7.0,7.0,7.0,-0.2,14.2,15.0,2.3,0.0,0.0
Kris Bubic,,SP,6400,KC,CHC,35%,5.26,5,0.344,22.9%,5.20,,,,L,,,-1%,1%,0%,7.4,7.4,7.4,7.4,7.4,11.1,1.7,0.0,0.0
Garrett Richards,,SP,6200,SD,LAD,44%,4.25,4.5,0.359,20.9%,5.27,26.4%,3.90,3.60,R,0.264,0.316,0%,0%,0%,16.1,16.1,16.1,9.4,22.8,12.7,2.0,0.0,0.0
Sean Newcomb,,SP,6000,ATL,TOR,54%,4.29,5,0.322,23.8%,3.57,23.0%,4.58,4.45,L,0.314,0.310,-1%,0%,0%,2.4,2.4,2.4,1.2,3.7,13.2,2.2,0.0,0.0
Asher Wojciechowski,,SP,6000,BAL,MIA,47%,4.40,5,,,5.67,22.5%,4.54,5.31,R,0.383,0.327,0%,-2%,0%,13.7,13.7,13.7,13.7,13.7,11.2,1.9,0.0,0.0
Trevor Williams,,SP,5900,PIT,MIN,38%,5.37,3.5,0.346,19.5%,5.10,18.0%,4.81,4.75,R,0.332,0.304,2%,-1%,0%,8.9,8.9,8.9,2.1,15.7,9.1,1.5,0.0,0.0
Logan Webb,,SP,5500,SF,@COL,38%,6.48,3.5,0.340,20.9%,5.56,21.3%,4.45,3.89,R,,,-20%,-1%,0%,7.5,7.5,7.5,5.7,9.4,7.6,1.4,0.0,0.0
Tejay Antone,,SP,4000,CIN,@CLE,39%,4.76,4.5,0.322,22.6%,2.55,,,,R,,,-3%,0%,1%,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0
